PROJECT	DDE_NUM	DDE_TYPE	DATE_CREATION	DATE_EN_AFFINAGE	DELAI	DDE_STATUT	DATE_CREATION	DATE_LAST_UPDATE
BEA	BEA-1068	Story	2016-07-11 16:37:15	NULL	NULL	Fermé	2016-07-11 16:37:15	2016-10-26 18:48:29
BEA	BEA-1069	Story	2016-07-11 16:58:05	NULL	NULL	Nouveau	2016-07-11 16:58:05	2016-09-09 11:05:15
BEA	BEA-1070	Story	2016-07-12 15:43:31	NULL	NULL	Nouveau	2016-07-12 15:43:31	2016-09-09 11:04:22
WEB	WEB-226	Story	2016-07-18 10:05:01	NULL	NULL	Nouveau	2016-07-18 10:05:01	2016-12-20 10:10:35
WEB	WEB-227	Bogue	2016-07-18 15:50:45	NULL	NULL	Nouveau	2016-07-18 15:50:45	2017-02-15 09:03:58
BOA	BOA-1199	Bogue	2016-07-18 16:35:54	2016-12-05 15:19:36	140	Fermé	2016-07-18 16:35:54	2016-12-05 15:20:37
BEA	BEA-356	Bogue	2016-07-18 17:03:38	NULL	NULL	Fermé	2016-07-18 17:03:38	2016-09-09 11:03:30
EXTR	EXTR-600	Story	2016-07-18 17:19:51	NULL	NULL	Fermé	2016-07-18 17:19:51	2016-10-05 15:47:28
WEB	WEB-228	Story	2016-07-18 17:27:38	NULL	NULL	Nouveau	2016-07-18 17:27:38	2016-12-20 10:10:35
EXTR	EXTR-601	Story	2016-07-18 17:56:38	NULL	NULL	Fermé	2016-07-18 17:56:38	2016-11-15 14:05:09
WEB	WEB-229	Bogue	2016-07-18 18:25:39	NULL	NULL	Nouveau	2016-07-18 18:25:39	2016-12-20 10:10:35
BEA	BEA-1071	Story	2016-07-19 08:04:38	2017-02-07 09:11:31	203	En Affinage	2016-07-19 08:04:38	2017-02-08 15:46:29
EXTR	EXTR-602	Story	2016-07-19 08:06:34	2016-12-22 09:16:08	156	En Affinage	2016-07-19 08:06:34	2017-02-15 08:58:06
BEA	BEA-1072	Bogue	2016-07-19 15:22:22	NULL	NULL	Fermé	2016-07-19 15:22:22	2016-11-15 14:05:13
BOA	BOA-1272	Story	2016-07-19 15:27:27	NULL	NULL	Testé	2016-07-19 15:27:27	2017-02-10 13:38:04
BEA	BEA-84	Story	2016-07-19 16:26:40	NULL	NULL	Fermé	2016-07-19 16:26:40	2016-11-15 14:05:10
BEA	BEA-85	Story	2016-07-19 16:30:53	NULL	NULL	Fermé	2016-07-19 16:30:53	2016-11-15 14:05:11
BEA	BEA-1073	Story	2016-07-19 16:41:56	NULL	NULL	Fermé	2016-07-19 16:41:56	2017-02-08 17:14:44
BEA	BEA-1074	Story	2016-07-19 16:43:37	NULL	NULL	Fermé	2016-07-19 16:43:37	2016-11-15 14:05:14
EXTR	EXTR-603	Bogue	2016-07-19 16:43:55	NULL	NULL	Testé	2016-07-19 16:43:55	2017-02-22 13:40:29
BEA	BEA-1075	Story	2016-07-19 16:46:05	NULL	NULL	Fermé	2016-07-19 16:46:05	2016-12-19 10:42:55
BEA	BEA-1076	Story	2016-07-19 16:58:44	NULL	NULL	Fermé	2016-07-19 16:58:44	2016-11-15 14:05:09
BEA	BEA-73	Story	2016-07-19 18:19:09	NULL	NULL	Fermé	2016-07-19 18:19:09	2016-12-19 10:42:31
BEA	BEA-357	Bogue	2016-07-20 15:26:35	NULL	NULL	Fermé	2016-07-20 15:26:35	2016-11-15 14:05:09
BEA	BEA-1077	Story	2016-07-20 19:32:01	NULL	NULL	Fermé	2016-07-20 19:32:01	2017-01-05 09:15:00
BEA	BEA-1078	Story	2016-07-20 19:34:06	NULL	NULL	Fermé	2016-07-20 19:34:06	2017-01-05 09:15:38
BEA	BEA-1079	Story	2016-07-20 19:38:06	NULL	NULL	Fermé	2016-07-20 19:38:06	2017-01-05 09:15:45
BEA	BEA-1080	Story	2016-07-20 19:40:14	NULL	NULL	Fermé	2016-07-20 19:40:14	2017-01-05 09:15:51
BEA	BEA-1081	Story	2016-07-20 19:42:02	2017-01-05 09:15:54	169	Fermé	2016-07-20 19:42:02	2017-01-05 09:16:01
BEA	BEA-1082	Story	2016-07-20 19:43:17	NULL	NULL	Fermé	2016-07-20 19:43:17	2017-01-05 09:16:09
BEA	BEA-1083	Story	2016-07-20 19:44:33	NULL	NULL	Fermé	2016-07-20 19:44:33	2017-01-05 09:16:16
BOA	BOA-1200	Story	2016-07-22 14:13:55	2016-12-06 15:33:55	137	Fermé	2016-07-22 14:13:55	2016-12-22 13:20:55
BOA	BOA-277	Story	2016-07-25 07:55:42	NULL	NULL	Testé	2016-07-25 07:55:42	2017-01-31 11:43:48
BOA	BOA-1201	Story	2016-07-25 08:09:11	NULL	NULL	Nouveau	2016-07-25 08:09:11	2017-02-15 09:00:25
EXTR	EXTR-282	Bogue	2016-07-26 13:43:05	2016-11-08 11:40:28	105	Fermé	2016-07-26 13:43:05	2016-12-29 15:20:05
BEA	BEA-1084	Bogue	2016-07-27 11:51:42	2017-02-13 13:31:33	201	En Affinage	2016-07-27 11:51:42	2017-02-28 15:50:05
BOA	BOA-1202	Bogue	2016-07-27 12:03:11	2016-11-07 17:11:56	103	Testé	2016-07-27 12:03:11	2016-12-22 11:16:33
EXTR	EXTR-283	Bogue	2016-07-27 16:10:14	NULL	NULL	Fermé	2016-07-27 16:10:14	2016-11-15 14:05:13
EXTR	EXTR-284	Bogue	2016-07-27 16:15:23	NULL	NULL	Fermé	2016-07-27 16:15:23	2016-11-15 14:05:11
WEB	WEB-230	Bogue	2016-07-27 16:55:12	2016-11-10 16:13:35	106	Fermé	2016-07-27 16:55:12	2016-12-29 15:21:03
BEA	BEA-358	Story	2016-07-28 10:14:57	NULL	NULL	Fermé	2016-07-28 10:14:57	2016-11-15 14:05:11
BEA	BEA-86	Story	2016-07-28 14:26:09	NULL	NULL	Fermé	2016-07-28 14:26:09	2016-11-15 14:05:13
BEA	BEA-1085	Story	2016-07-28 15:10:49	2016-11-09 15:48:48	104	Nouveau	2016-07-28 15:10:49	2017-02-07 09:13:26
EXTR	EXTR-285	Bogue	2016-07-28 16:14:52	NULL	NULL	Fermé	2016-07-28 16:14:52	2016-11-15 14:05:14
EXTR	EXTR-37	Bogue	2016-07-28 16:21:08	NULL	NULL	Vérifié	2016-07-28 16:21:08	2017-02-22 14:09:07
BEA	BEA-1086	Bogue	2016-08-01 12:17:50	2017-01-09 12:42:33	161	Fermé	2016-08-01 12:17:50	2017-02-02 10:47:44
BEA	BEA-1087	Bogue	2016-08-01 12:19:52	NULL	NULL	Fermé	2016-08-01 12:19:52	2016-12-23 16:31:16
BEA	BEA-1088	Bogue	2016-08-01 12:21:54	NULL	NULL	Fermé	2016-08-01 12:21:54	2016-12-15 09:16:52
BEA	BEA-1089	Story	2016-08-01 12:29:55	2017-01-19 09:33:59	171	Réalisé	2016-08-01 12:29:55	2017-02-09 16:03:15
BEA	BEA-1090	Bogue	2016-08-01 15:16:22	NULL	NULL	Fermé	2016-08-01 15:16:22	2016-09-09 11:03:51
BEA	BEA-74	Story	2016-08-02 11:50:36	NULL	NULL	Fermé	2016-08-02 11:50:36	2016-11-15 14:05:15
BEA	BEA-359	Bogue	2016-08-02 16:28:44	NULL	NULL	Fermé	2016-08-02 16:28:44	2016-11-15 14:05:12
BEA	BEA-1091	Bogue	2016-08-02 17:29:13	2016-11-03 15:40:19	93	Fermé	2016-08-02 17:29:13	2016-11-15 14:05:09
BEA	BEA-360	Bogue	2016-08-03 16:58:09	NULL	NULL	Fermé	2016-08-03 16:58:09	2016-11-15 14:05:13
BOA	BOA-1203	Bogue	2016-08-03 17:39:54	NULL	NULL	Testé	2016-08-03 17:39:54	2017-02-10 13:38:04
BEA	BEA-75	Story	2016-08-08 14:55:40	NULL	NULL	Fermé	2016-08-08 14:55:40	2016-11-23 10:22:28
BOA	BOA-1396	Bogue	2016-08-08 17:24:50	2017-01-10 09:12:18	155	Prêt	2016-08-08 17:24:50	2017-02-14 12:23:54
BI	BI-120	Story	2016-08-09 15:41:07	NULL	NULL	Testé	2016-08-09 15:41:07	2016-12-21 14:27:37
BEA	BEA-1093	Story	2016-08-10 13:39:00	2016-11-09 09:56:20	91	Réalisé	2016-08-10 13:39:00	2017-02-23 09:04:38
BEA	BEA-87	Story	2016-08-10 13:48:21	NULL	NULL	Fermé	2016-08-10 13:48:21	2016-11-15 14:05:11
BEA	BEA-88	Bogue	2016-08-10 13:51:20	NULL	NULL	Fermé	2016-08-10 13:51:20	2016-11-15 14:05:11
BEA	BEA-1094	Bogue	2016-08-10 16:43:08	NULL	NULL	Testé	2016-08-10 16:43:08	2016-11-30 10:13:45
EXTR	EXTR-286	Bogue	2016-08-11 11:54:07	NULL	NULL	Fermé	2016-08-11 11:54:07	2016-09-09 11:09:08
EXTR	EXTR-604	Bogue	2016-08-11 14:48:17	2016-12-14 10:32:48	125	En Affinage	2016-08-11 14:48:17	2017-02-15 08:58:07
EXTR	EXTR-605	Story	2016-08-11 16:29:50	NULL	NULL	Fermé	2016-08-11 16:29:50	2017-01-16 15:52:48
BEA	BEA-89	Story	2016-08-12 13:25:05	NULL	NULL	Fermé	2016-08-12 13:25:05	2016-10-25 11:33:16
WEB	WEB-231	Story	2016-08-16 09:39:06	2016-12-29 17:03:02	135	Prêt	2016-08-16 09:39:06	2017-01-05 10:54:13
EXTR	EXTR-287	Story	2016-08-16 14:24:50	2016-11-08 11:41:15	84	Fermé	2016-08-16 14:24:50	2016-12-14 10:24:15
EXTR	EXTR-606	Story	2016-08-17 11:20:10	NULL	NULL	Testé	2016-08-17 11:20:10	2017-01-25 17:04:03
EXTR	EXTR-288	Bogue	2016-08-22 14:49:46	NULL	NULL	Fermé	2016-08-22 14:49:46	2016-12-29 15:10:04
BEA	BEA-90	Story	2016-08-24 11:35:27	NULL	NULL	Fermé	2016-08-24 11:35:27	2016-11-15 14:05:17
EXTR	EXTR-659	Story	2016-08-25 09:55:14	NULL	NULL	Publié	2016-08-25 09:55:14	2017-02-21 13:20:33
BEA	BEA-91	Story	2016-08-25 11:29:36	2016-11-09 09:56:15	76	Nouveau	2016-08-25 11:29:36	2016-11-21 14:04:58
BEA	BEA-1095	Story	2016-08-25 11:31:45	2016-11-09 09:56:29	76	Nouveau	2016-08-25 11:31:45	2017-02-02 09:07:57
BEA	BEA-1096	Story	2016-08-25 11:40:14	2016-11-09 09:56:36	76	Fermé	2016-08-25 11:40:14	2016-11-21 14:04:37
BEA	BEA-92	Story	2016-08-25 12:12:27	NULL	NULL	Nouveau	2016-08-25 12:12:27	2016-10-11 18:05:34
BEA	BEA-1097	Story	2016-08-25 17:12:04	NULL	NULL	Nouveau	2016-08-25 17:12:04	2016-09-09 11:05:15
BEA	BEA-1098	Story	2016-08-25 17:20:02	NULL	NULL	Fermé	2016-08-25 17:20:02	2016-11-15 14:05:10
BEA	BEA-1099	Story	2016-08-25 17:25:27	NULL	NULL	Fermé	2016-08-25 17:25:27	2016-11-15 14:05:09
BEA	BEA-1100	Story	2016-08-25 17:26:37	NULL	NULL	Fermé	2016-08-25 17:26:37	2016-11-15 14:05:16
BEA	BEA-1101	Story	2016-08-25 17:30:06	NULL	NULL	Fermé	2016-08-25 17:30:06	2016-11-15 14:05:17
BEA	BEA-1102	Story	2016-08-25 19:04:33	NULL	NULL	Fermé	2016-08-25 19:04:33	2016-11-15 14:05:14
EXTR	EXTR-289	Bogue	2016-08-26 11:51:18	NULL	NULL	Fermé	2016-08-26 11:51:18	2017-01-02 08:25:00
BEA	BEA-1103	Story	2016-08-29 14:15:21	NULL	NULL	Fermé	2016-08-29 14:15:21	2016-11-15 14:05:15
BEA	BEA-1104	Story	2016-08-29 14:17:52	NULL	NULL	Fermé	2016-08-29 14:17:52	2016-11-15 14:05:16
BEA	BEA-1105	Bogue	2016-08-29 16:06:41	NULL	NULL	Fermé	2016-08-29 16:06:41	2017-02-08 12:05:51
BEA	BEA-1106	Story	2016-08-30 11:51:35	NULL	NULL	Nouveau	2016-08-30 11:51:35	2017-02-28 16:41:36
BEA	BEA-1107	Story	2016-08-31 09:52:21	NULL	NULL	Nouveau	2016-08-31 09:52:21	2016-12-16 10:26:45
BEA	BEA-1108	Story	2016-08-31 14:01:05	2016-11-09 09:56:51	70	Réalisé	2016-08-31 14:01:05	2017-02-23 09:04:26
BEA	BEA-361	Bogue	2016-08-31 16:12:58	NULL	NULL	Fermé	2016-08-31 16:12:58	2016-11-15 14:05:09
EXTR	EXTR-702	Story	2016-08-31 16:47:56	NULL	NULL	Fermé	2016-08-31 16:47:56	2016-11-15 14:05:12
BEA	BEA-362	Bogue	2016-09-01 17:04:10	NULL	NULL	Fermé	2016-09-01 17:04:10	2016-11-15 14:05:10
BEA	BEA-1109	Story	2016-09-02 15:43:45	NULL	NULL	Fermé	2016-09-02 15:43:45	2016-12-21 12:35:13
BEA	BEA-1110	Story	2016-09-02 15:50:30	NULL	NULL	Fermé	2016-09-02 15:50:30	2016-12-29 10:02:38
BEA	BEA-1111	Story	2016-09-05 09:29:40	NULL	NULL	Fermé	2016-09-05 09:29:40	2016-12-21 12:34:58
BEA	BEA-1112	Story	2016-09-05 09:49:29	NULL	NULL	Fermé	2016-09-05 09:49:29	2016-12-27 10:25:46
BEA	BEA-1113	Story	2016-09-05 10:07:14	NULL	NULL	Fermé	2016-09-05 10:07:14	2016-12-21 12:35:08
BEA	BEA-363	Story	2016-09-06 16:41:45	NULL	NULL	Fermé	2016-09-06 16:41:45	2016-11-15 14:05:16
BEA	BEA-1114	Bogue	2016-09-07 12:33:47	NULL	NULL	Fermé	2016-09-07 12:33:47	2016-11-15 14:05:14
BEA	BEA-364	Story	2016-09-07 15:55:17	NULL	NULL	Nouveau	2016-09-07 15:55:17	2016-10-18 10:17:07
BEA	BEA-365	Bogue	2016-09-07 16:07:35	NULL	NULL	Fermé	2016-09-07 16:07:35	2016-11-15 14:05:14
BEA	BEA-366	Story	2016-09-07 16:41:13	NULL	NULL	Fermé	2016-09-07 16:41:13	2016-12-14 15:28:37
BEA	BEA-1115	Bogue	2016-09-08 10:38:37	NULL	NULL	Fermé	2016-09-08 10:38:37	2017-02-08 14:06:00
BEA	BEA-1116	Bogue	2016-09-08 10:54:46	NULL	NULL	Fermé	2016-09-08 10:54:46	2016-11-15 14:05:14
BEA	BEA-367	Story	2016-09-08 12:16:08	NULL	NULL	Nouveau	2016-09-08 12:16:08	2016-09-13 17:20:45
BEA	BEA-368	Story	2016-09-08 12:17:11	NULL	NULL	Nouveau	2016-09-08 12:17:11	2016-09-13 17:21:35
BEA	BEA-369	Bogue	2016-09-08 15:15:02	NULL	NULL	Fermé	2016-09-08 15:15:02	2016-11-15 14:05:15
BEA	BEA-1117	Bogue	2016-09-08 15:21:14	NULL	NULL	Fermé	2016-09-08 15:21:14	2016-11-15 14:05:10
BEA	BEA-370	Bogue	2016-09-08 18:44:58	NULL	NULL	Nouveau	2016-09-08 18:44:58	2016-09-15 09:22:39
BOA	BOA-1281	Bogue	2016-09-14 12:01:52	NULL	NULL	Testé	2016-09-14 12:01:52	2017-02-10 13:38:04
EXTR	EXTR-677	Bogue	2016-09-14 13:58:25	NULL	NULL	Testé	2016-09-14 13:58:25	2016-12-20 14:05:50
EXTR	EXTR-678	Bogue	2016-09-14 14:26:15	NULL	NULL	Fermé	2016-09-14 14:26:15	2016-11-15 14:05:14
EXTR	EXTR-679	Bogue	2016-09-14 14:49:54	NULL	NULL	Fermé	2016-09-14 14:49:54	2016-11-15 14:05:15
BEA	BEA-1126	Story	2016-09-14 14:58:43	NULL	NULL	Fermé	2016-09-14 14:58:43	2016-11-15 14:05:09
EXTR	EXTR-680	Bogue	2016-09-14 14:59:56	NULL	NULL	Fermé	2016-09-14 14:59:56	2016-11-15 14:05:13
BEA	BEA-1127	Story	2016-09-14 15:03:01	NULL	NULL	Fermé	2016-09-14 15:03:01	2016-12-14 15:30:09
BEA	BEA-1128	Story	2016-09-14 15:06:55	NULL	NULL	Fermé	2016-09-14 15:06:55	2016-12-14 15:28:18
BEA	BEA-1129	Story	2016-09-14 15:09:27	NULL	NULL	Fermé	2016-09-14 15:09:27	2016-12-14 15:28:26
EXTR	EXTR-681	Bogue	2016-09-14 15:09:36	NULL	NULL	Fermé	2016-09-14 15:09:36	2016-11-15 14:05:14
BEA	BEA-1130	Story	2016-09-14 15:13:06	NULL	NULL	Fermé	2016-09-14 15:13:06	2017-02-02 13:38:13
BEA	BEA-1131	Story	2016-09-14 15:18:21	NULL	NULL	Fermé	2016-09-14 15:18:21	2016-11-15 14:05:11
BOA	BOA-1282	Bogue	2016-09-14 15:55:43	NULL	NULL	Testé	2016-09-14 15:55:43	2017-02-10 13:38:04
BOA	BOA-1283	Bogue	2016-09-15 09:46:13	NULL	NULL	Testé	2016-09-15 09:46:13	2017-02-10 13:38:04
BEA	BEA-1132	Story	2016-09-15 10:22:48	NULL	NULL	Fermé	2016-09-15 10:22:48	2016-10-10 17:35:09
BEA	BEA-1133	Story	2016-09-15 10:25:18	NULL	NULL	Nouveau	2016-09-15 10:25:18	2016-09-15 10:25:36
BEA	BEA-1134	Story	2016-09-15 14:19:41	NULL	NULL	Fermé	2016-09-15 14:19:41	2016-11-15 14:05:11
BEA	BEA-1135	Story	2016-09-15 16:23:24	NULL	NULL	Fermé	2016-09-15 16:23:24	2016-10-18 14:28:02
EXTR	EXTR-801	Bogue	2016-09-15 17:21:29	2017-02-22 12:43:53	160	Prêt	2016-09-15 17:21:29	2017-03-01 12:23:19
EXTR	EXTR-682	Story	2016-09-15 17:43:38	NULL	NULL	Testé	2016-09-15 17:43:38	2017-02-10 13:39:21
BEA	BEA-1136	Sous-tâche	2016-09-16 09:22:34	NULL	NULL	Fait	2016-09-16 09:22:34	2016-12-21 12:35:12
BEA	BEA-1137	Story	2016-09-16 10:03:58	NULL	NULL	Fermé	2016-09-16 10:03:58	2016-11-15 14:05:13
BEA	BEA-1138	Story	2016-09-16 10:07:52	NULL	NULL	Fermé	2016-09-16 10:07:52	2016-11-15 14:05:16
BEA	BEA-1139	Story	2016-09-16 10:16:59	NULL	NULL	Fermé	2016-09-16 10:16:59	2016-11-15 14:05:15
BEA	BEA-1140	Story	2016-09-16 10:26:28	NULL	NULL	Nouveau	2016-09-16 10:26:28	2017-02-06 17:48:45
BEA	BEA-1141	Story	2016-09-16 10:28:31	NULL	NULL	Fermé	2016-09-16 10:28:31	2016-11-15 14:05:14
BOA	BOA-1285	Bogue	2016-09-16 10:56:44	2017-01-24 17:40:13	130	En Affinage	2016-09-16 10:56:44	2017-01-24 17:40:13
BEA	BEA-1142	Sous-tâche	2016-09-16 11:25:31	NULL	NULL	Fait	2016-09-16 11:25:31	2016-12-29 10:02:39
BEA	BEA-1143	Sous-tâche	2016-09-16 11:28:21	NULL	NULL	Fait	2016-09-16 11:28:21	2016-12-21 12:35:14
BOA	BOA-1286	Bogue	2016-09-16 11:46:34	NULL	NULL	En cours	2016-09-16 11:46:34	2017-02-14 16:46:39
BEA	BEA-1144	Story	2016-09-16 11:49:51	NULL	NULL	Fermé	2016-09-16 11:49:51	2017-01-10 18:11:30
BOA	BOA-1287	Bogue	2016-09-16 15:24:53	NULL	NULL	Testé	2016-09-16 15:24:53	2017-02-10 13:38:04
BOA	BOA-1288	Bogue	2016-09-16 16:51:18	NULL	NULL	Testé	2016-09-16 16:51:18	2017-02-10 13:38:04
BOA	BOA-1289	Bogue	2016-09-16 17:01:06	NULL	NULL	Testé	2016-09-16 17:01:06	2017-02-10 13:38:05
SJ	SJ-1	Story	2016-09-19 09:33:58	NULL	NULL	Prêt	2016-09-19 09:33:58	2016-09-19 09:47:37
SJ	SJ-2	Story	2016-09-19 09:34:43	2017-02-09 16:06:01	143	En cours	2016-09-19 09:34:43	2017-02-09 16:06:06
SJ	SJ-3	Sous-tâche	2016-09-19 09:44:30	NULL	NULL	À faire	2016-09-19 09:44:30	2016-10-10 12:01:51
SJ	SJ-4	Sous-tâche	2016-09-19 09:44:45	NULL	NULL	Fait	2016-09-19 09:44:45	2016-09-19 09:47:03
BEA	BEA-1145	Sous-tâche	2016-09-20 10:47:35	NULL	NULL	Fait	2016-09-20 10:47:35	2016-10-10 12:02:31
BEA	BEA-1146	Sous-tâche	2016-09-20 10:47:46	NULL	NULL	Fait	2016-09-20 10:47:46	2016-12-29 10:02:39
BEA	BEA-1147	Sous-tâche	2016-09-20 10:47:55	NULL	NULL	Fait	2016-09-20 10:47:55	2016-12-21 12:35:07
BEA	BEA-1148	Sous-tâche	2016-09-20 10:48:14	NULL	NULL	Fait	2016-09-20 10:48:14	2016-12-21 12:35:05
BEA	BEA-1149	Sous-tâche	2016-09-20 10:48:23	NULL	NULL	Fait	2016-09-20 10:48:23	2016-12-21 12:35:06
EXTR	EXTR-683	Bogue	2016-09-20 10:56:05	NULL	NULL	Fermé	2016-09-20 10:56:05	2016-11-15 14:05:13
BOA	BOA-1290	Story	2016-09-20 11:05:39	NULL	NULL	Nouveau	2016-09-20 11:05:39	2016-11-10 11:15:24
BEA	BEA-1150	Bogue	2016-09-21 11:48:56	NULL	NULL	Fermé	2016-09-21 11:48:56	2017-01-09 11:12:14
EXTR	EXTR-684	Bogue	2016-09-21 13:31:53	NULL	NULL	Fermé	2016-09-21 13:31:53	2016-11-15 14:05:14
EXTR	EXTR-685	Bogue	2016-09-21 14:19:25	NULL	NULL	Fermé	2016-09-21 14:19:25	2016-11-30 12:00:54
EXTR	EXTR-686	Bogue	2016-09-21 15:11:42	NULL	NULL	Fermé	2016-09-21 15:11:42	2016-11-15 14:05:14
WEB	WEB-232	Bogue	2016-09-21 15:14:44	NULL	NULL	Testé	2016-09-21 15:14:44	2017-02-10 13:40:40
WEB	WEB-233	Bogue	2016-09-21 15:19:50	NULL	NULL	Nouveau	2016-09-21 15:19:50	2016-10-06 11:51:56
WEB	WEB-234	Bogue	2016-09-21 15:38:47	NULL	NULL	Nouveau	2016-09-21 15:38:47	2016-09-21 15:38:47
WEB	WEB-235	Bogue	2016-09-21 15:44:52	NULL	NULL	Nouveau	2016-09-21 15:44:52	2016-09-21 15:44:52
WEB	WEB-236	Bogue	2016-09-21 15:56:46	NULL	NULL	Testé	2016-09-21 15:56:46	2017-02-10 13:40:40
BEA	BEA-1151	Sous-tâche	2016-09-21 17:20:30	NULL	NULL	Fait	2016-09-21 17:20:30	2016-10-10 12:02:31
WEB	WEB-245	Story	2016-09-23 09:33:30	NULL	NULL	Prêt	2016-09-23 09:33:30	2017-02-15 09:14:09
BOA	BOA-1291	Bogue	2016-09-23 10:27:11	NULL	NULL	Nouveau	2016-09-23 10:27:11	2017-02-15 09:00:25
EXTR	EXTR-688	Bogue	2016-09-23 11:20:05	NULL	NULL	Fermé	2016-09-23 11:20:05	2016-11-15 14:05:15
EXTR	EXTR-689	Bogue	2016-09-23 11:37:28	NULL	NULL	Fermé	2016-09-23 11:37:28	2016-11-15 14:05:11
BOA	BOA-1292	Story	2016-09-27 16:43:43	NULL	NULL	Fermé	2016-09-27 16:43:43	2016-10-21 11:12:13
EXTR	EXTR-690	Bogue	2016-09-28 14:27:31	NULL	NULL	Fermé	2016-09-28 14:27:31	2016-11-15 14:05:17
BOA	BOA-1293	Bogue	2016-09-28 14:44:46	2016-12-06 14:15:32	69	Testé	2016-09-28 14:44:46	2017-02-10 13:38:04
BOA	BOA-1294	Bogue	2016-09-28 15:25:31	NULL	NULL	Testé	2016-09-28 15:25:31	2017-02-10 13:38:04
EXTR	EXTR-691	Bogue	2016-09-28 15:47:50	NULL	NULL	Fermé	2016-09-28 15:47:50	2016-11-15 14:05:15
EXTR	EXTR-692	Bogue	2016-09-28 15:53:55	NULL	NULL	Fermé	2016-09-28 15:53:55	2016-09-28 18:26:12
BOA	BOA-1295	Bogue	2016-09-28 16:29:09	2016-11-07 17:04:59	40	Fermé	2016-09-28 16:29:09	2016-11-15 14:05:16
EXTR	EXTR-693	Bogue	2016-09-28 16:39:18	NULL	NULL	Fermé	2016-09-28 16:39:18	2016-11-15 14:05:09
EXTR	EXTR-694	Bogue	2016-09-28 16:42:29	NULL	NULL	Fermé	2016-09-28 16:42:29	2016-09-28 18:21:02
